ERROR 2026-06-02 10:14:44,284 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:44,573 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23285.90
ERROR 2026-06-02 10:14:44,574 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:44,661 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23285.90
WARNING 2026-06-02 10:14:44,976 dhan_feed DhanFeed: ⚠️  Using fallback account (NOT master) | account=4 | client_id=1100520185 — Set DHAN_MASTER_CLIENT_ID in .env for stable feed.
ERROR 2026-06-02 10:14:45,016 dhan_feed DhanFeed: 401 Unauthorized — Dhan token expire ho gaya. Naya access token generate karo.
INFO 2026-06-02 10:14:45,041 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.10
ERROR 2026-06-02 10:14:45,041 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:45,095 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.10
INFO 2026-06-02 10:14:45,376 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23285.95
ERROR 2026-06-02 10:14:45,376 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:45,377 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:45,391 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23285.95
INFO 2026-06-02 10:14:45,788 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.15
ERROR 2026-06-02 10:14:45,789 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:45,818 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.15
ERROR 2026-06-02 10:14:45,858 dhan_feed DhanFeed: HTTP error: 429 Client Error: Too Many Requests for url: https://api.dhan.co/v2/marketfeed/ohlc
INFO 2026-06-02 10:14:46,236 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23285.20
ERROR 2026-06-02 10:14:46,237 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:46,315 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23285.20
INFO 2026-06-02 10:14:46,615 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.40
INFO 2026-06-02 10:14:46,698 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.40
ERROR 2026-06-02 10:14:46,699 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:46,699 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:46,995 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.80
ERROR 2026-06-02 10:14:46,996 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:47,085 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.80
INFO 2026-06-02 10:14:47,329 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.65
INFO 2026-06-02 10:14:47,418 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.65
ERROR 2026-06-02 10:14:47,418 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:47,828 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.25
INFO 2026-06-02 10:14:47,839 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.25
ERROR 2026-06-02 10:14:47,839 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:47,840 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
WARNING 2026-06-02 10:14:47,976 dhan_feed DhanFeed: ⚠️  Using fallback account (NOT master) | account=4 | client_id=1100520185 — Set DHAN_MASTER_CLIENT_ID in .env for stable feed.
ERROR 2026-06-02 10:14:48,039 dhan_feed DhanFeed: 401 Unauthorized — Dhan token expire ho gaya. Naya access token generate karo.
INFO 2026-06-02 10:14:48,189 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.60
ERROR 2026-06-02 10:14:48,190 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:48,337 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.60
INFO 2026-06-02 10:14:48,630 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.45
ERROR 2026-06-02 10:14:48,630 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:48,639 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23284.45
ERROR 2026-06-02 10:14:48,958 dhan_feed DhanFeed: HTTP error: 429 Client Error: Too Many Requests for url: https://api.dhan.co/v2/marketfeed/ohlc
INFO 2026-06-02 10:14:49,052 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23283.75
ERROR 2026-06-02 10:14:49,053 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
